"location","email","fname","sname","fyomi","syomi","sex","birthday","occupation","prefecture","image"
"A","1200@4any.bc-glex.net","相川","亮二","あいかわ","りょうじ","男","1976/07/11","プロ野球選手",,"http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"B","1201@4any.bc-glex.net","愛敬","尚史","あいきょう","ひさし","男","1976/12/04","プロ野球選手","大阪府","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"C","1202@4any.bc-glex.net","愛甲","猛","あいこう","たけし","男","1962/08/15","プロ野球選手","神奈川県","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"D","1203@4any.bc-glex.net","青木","勇人","あおき","はやと","男","1977/05/06","プロ野球選手",,"http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"E","1204@4any.bc-glex.net","青木","実","あおき","みのる","男","1954/06/20","プロ野球選手","神奈川県","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"F","1205@4any.bc-glex.net","青柴","憲一","あおしば","けんいち","男","1912/09/01","プロ野球選手","京都府","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"G","1206@4any.bc-glex.net","青松","敬鎔","あおまつ","けいよう","男","1986/12/07",,"京都府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"H","1207@4any.bc-glex.net","青山","浩二","あおやま","こうじ","男","1983/08/12","プロ野球選手","北海道","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"A","1208@4any.bc-glex.net","赤川","貴弘","あかがわ","たかひろ","男","1966/06/29","プロ野球選手","大阪府","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"B","1209@4any.bc-glex.net","赤坂","和幸","あかさか","かずゆき","男","1989/09/04","プロ野球選手","神奈川県","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"C","1210@4any.bc-glex.net","明石","健志","あかし","けんじ","男","1986/01/09","プロ野球選手","北海道","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"D","syn-mujinuser@4any.bc-glex.net","赤松","真人","あかまつ","まさと","男","1982/09/06","プロ野球選手","京都府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"E","1212@4any.bc-glex.net","秋元","宏作","あきもと","こうさく","男","1968/01/29","プロ野球選手","東京都","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"F","1213@4any.bc-glex.net","朝井","秀樹","あさい","ひでき","男","1984/01/01","プロ野球選手",,"http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"G","1214@4any.bc-glex.net","浅井","良","あさい","りょう","男","1979/07/19","プロ野球選手","神奈川県","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"H","1215@4any.bc-glex.net","浅沼","寿紀","あさぬま","としのり","男","1989/07/21","プロ野球選手","北海道","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"A","1216@4any.bc-glex.net","浅村","栄斗","あさむら","ひでと","男","1990/11/12","プロ野球選手","大阪府","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"B","1217@4any.bc-glex.net","麻生","知史","あそう","ともふみ","男","1987/06/28","プロ野球選手","神奈川県","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"C","1218@4any.bc-glex.net","厚ヶ瀬","美姫","あつがせ","みき","女","1991/02/12","プロ野球選手","大阪府","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"D","1219@4any.bc-glex.net","安部","理","あべ","おさむ","男","1962/12/19","プロ野球選手","宮城県","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"E","1220@4any.bc-glex.net","阿部","慶二","あべ","けいじ","男","1961/04/20","プロ野球選手","大阪府","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"F","1221@4any.bc-glex.net","阿部","真宏","あべ","まさひろ","男","1978/05/12","プロ野球選手","神奈川県","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"G","1222@4any.bc-glex.net","新井","宏昌","あらい","ひろまさ","男","1952/04/26","プロ野球選手","大阪府","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"H","1223@4any.bc-glex.net","荒井","幸雄","あらい","ゆきお","男","1964/10/13","プロ野球選手","神奈川県","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"A","1224@4any.bc-glex.net","荒川","博","あらかわ","ひろし","男","1930/08/06","プロ野球選手","東京都","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"B","1225@4any.bc-glex.net","荒川","雄太","あらかわ","ゆうた","男","1987/10/14","プロ野球選手","東京都","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"C","1226@4any.bc-glex.net","荒木","大輔","あらき","だいすけ","男","1964/05/06","プロ野球選手","東京都","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"D","1227@4any.bc-glex.net","荒張","裕司","あらはり","ゆうじ","男","1989/04/24","プロ野球選手","大阪府","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"E","1228@4any.bc-glex.net","安斉","雄虎","あんざい","たけとら","男","1991/10/28","プロ野球選手","神奈川県","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"F","1229@4any.bc-glex.net","飯田","哲也","いいだ","てつや","男","1968/05/18","プロ野球選手","東京都","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"G","1230@4any.bc-glex.net","飯田","徳治","いいだ","とくじ","男","1924/04/06","プロ野球選手","神奈川県","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"H","1231@4any.bc-glex.net","碇","美穂子","いかり","みほこ","女","1987/07/20","プロ野球選手","東京都","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"A","1232@4any.bc-glex.net","五十嵐","信一","いがらし","しんいち","男","1959/08/29","プロ野球選手","東京都","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"B","1233@4any.bc-glex.net","生山","裕人","いくやま","ひろと","男","1985/05/10","プロ野球選手","大阪府","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"C","1234@4any.bc-glex.net","井口","資仁","いぐち","ただひと","男","1974/12/04","プロ野球選手","東京都","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"D","1235@4any.bc-glex.net","石井","昭男","いしい","あきお","男","1955/09/26","プロ野球選手","神奈川県","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"E","1236@4any.bc-glex.net","石井","貴","いしい","たかし","男","1971/08/25","プロ野球選手","神奈川県","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"F","1237@4any.bc-glex.net","石井","裕也","いしい","ゆうや","男","1981/07/04","プロ野球選手","神奈川県","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"G","1238@4any.bc-glex.net","石田","隆司","いしだ","たかし","男","1989/06/13","プロ野球選手","大阪府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"H","1239@4any.bc-glex.net","石山","一秀","いしやま","かずひで","男","1950/12/13","プロ野球選手","京都府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"A","1240@4any.bc-glex.net","市川","友也","いちかわ","ともや","男","1985/05/09","プロ野球選手","神奈川県","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"B","1241@4any.bc-glex.net","糸井","嘉男","いとい","よしお","男","1981/07/31","プロ野球選手","京都府","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"C","1242@4any.bc-glex.net","伊東","昂大","いとう","こうた","男","1991/07/25","プロ野球選手","神奈川県","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"D","1243@4any.bc-glex.net","伊東","昂大","いとう","こうだい","男","1991/07/25","プロ野球選手","神奈川県","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"E","1244@4any.bc-glex.net","伊藤","智仁","いとう","ともひと","男","1970/10/30","プロ野球選手","京都府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"F","1245@4any.bc-glex.net","犬伏","稔昌","いぬぶし","としあき","男","1972/04/24","プロ野球選手","大阪府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"G","1246@4any.bc-glex.net","井上","純","いのうえ","じゅん","男","1970/06/08","プロ野球選手","宮城県","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"H","1247@4any.bc-glex.net","井端","弘和","いばた","ひろかず","男","1975/05/12","プロ野球選手","神奈川県","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"A","1248@4any.bc-glex.net","伊林","厚志","いばやし","あつし","男","1972/08/16","プロ野球選手","北海道","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"B","1249@4any.bc-glex.net","今江","敏晃","いまえ","としあき","男","1983/08/26","プロ野球選手","京都府","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"C","1250@4any.bc-glex.net","岩隈","久志","いわくま","ひさし","男","1981/04/12","プロ野球選手","東京都","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"D","1251@4any.bc-glex.net","岩﨑","恭平","いわさき","きょうへい","男","1986/04/04","プロ野球選手","神奈川県","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"E","1252@4any.bc-glex.net","岩﨑","達郎","いわさき","たつろう","男","1984/12/28","プロ野球選手","神奈川県","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"F","1253@4any.bc-glex.net","岩田","稔","いわた","みのる","男","1983/10/31","プロ野球選手","大阪府","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"G","1254@4any.bc-glex.net","岩本","勉","いわもと","つとむ","男","1971/05/11","プロ野球選手","大阪府","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"H","1255@4any.bc-glex.net","岩谷","美里","いわや","みり","女","1991/06/07","プロ野球選手","北海道","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"A","1256@4any.bc-glex.net","上岡","良一","うえおか","りょういち","男","1966/08/11","プロ野球選手","大阪府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"B","1257@4any.bc-glex.net","上野","貴久","うえの","たかひさ","男","1982/12/09","プロ野球選手","東京都","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"C","1258@4any.bc-glex.net","上野","大樹","うえの","ひろき","男","1986/10/13","プロ野球選手","東京都","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"D","1259@4any.bc-glex.net","上原","浩治","うえはら","こうじ","男","1975/04/03","プロ野球選手","大阪府","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"E","1260@4any.bc-glex.net","植松","優友","うえまつ","まさとも","男","1989/11/27","プロ野球選手","大阪府","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"F","1261@4any.bc-glex.net","上村","和裕","うえむら","かずひろ","男","1983/02/20","プロ野球選手","北海道","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"G","1262@4any.bc-glex.net","植村","祐介","うえむら","ゆうすけ","男","1988/07/05","プロ野球選手","大阪府","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"H","1263@4any.bc-glex.net","上本","孝一","うえもと","こういち","男","1963/04/29","プロ野球選手","京都府","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"A","1264@4any.bc-glex.net","内","竜也","うち","たつや","男","1985/07/13","プロ野球選手","神奈川県","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"B","1265@4any.bc-glex.net","内田","好治","うちだ","こうじ","男","1986/07/04","プロ野球選手","大阪府","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"C","1266@4any.bc-glex.net","内村","賢介","うちむら","けんすけ","男","1986/03/17","プロ野球選手","東京都","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"D","1267@4any.bc-glex.net","内海","哲也","うつみ","てつや","男","1982/04/29","プロ野球選手","京都府","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"E","1268@4any.bc-glex.net","江尻","慎太郎","えじり","しんたろう","男","1977/04/30","プロ野球選手","宮城県","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"F","1269@4any.bc-glex.net","江藤","智","えとう","あきら","男","1970/04/15","プロ野球選手","東京都","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"G","1270@4any.bc-glex.net","榎本","喜八","えのもと","きはち","男","1936/12/05","プロ野球選手","東京都","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"H","1271@4any.bc-glex.net","大家","友和","おおか","ともかず","男","1976/03/18","プロ野球選手","京都府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"A","1272@4any.bc-glex.net","大沢","啓二","おおさわ","けいじ","男","1932/03/14","プロ野球選手","神奈川県","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"B","1273@4any.bc-glex.net","大島","公一","おおしま","こういち","男","1967/06/17","プロ野球選手","東京都","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"C","1274@4any.bc-glex.net","太田","暁","おおた","さとる","男","1971/01/23","プロ野球選手","京都府","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"D","1275@4any.bc-glex.net","大塚","豊","おおつか","ゆたか","男","1987/12/20","プロ野球選手","東京都","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"E","1276@4any.bc-glex.net","大塚","義樹","おおつか","よしき","男","1966/04/06","プロ野球選手","神奈川県","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"F","1277@4any.bc-glex.net","大隣","憲司","おおとなり","けんじ","男","1984/11/19","プロ野球選手","京都府","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
